NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
17,Soteiro(a),Parda,F,Inglês,27042251,Coruripe,AL,445.5,552.2,541.7,467.8,580,517.44,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27045234,Penedo,AL,341.7,422.2,419.8,429.9,580,438.72,Não,Não
18,Soteiro(a),Parda,F,Inglês,27045234,Penedo,AL,425.1,520.7,525.9,520,780,554.34,Não,Não
18,Soteiro(a),Parda,F,Inglês,27042251,Coruripe,AL,374.4,354.2,469.7,482.5,620,460.16,Não,Não
17,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,506.2,450.9,486.3,569.8,520,506.64,"Sim, um",Sim
17,Soteiro(a),Branca,F,ESpanhol,27045234,Penedo,AL,381.8,433.4,461.1,510.8,620,481.42,Não,Não
18,Soteiro(a),Preta,F,ESpanhol,27014959,Palmeira dos Indios,AL,447.4,597.4,561.2,581.4,960,629.48,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27045552,Penedo,AL,397.9,482.8,507.9,488.9,540,483.5,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,478.4,427.3,523.7,398.1,740,513.5,"Sim, um",Sim
18,Soteiro(a),Parda,M,Inglês,27045145,Penedo,AL,401.1,489.1,522.5,463.1,680,511.16,Não,Sim
17,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,433.2,531.3,551.3,579.9,800,579.14,"Sim, um",Sim
19,Soteiro(a),Preta,M,Inglês,27050572,Coruripe,AL,551.8,565.6,592.7,682.2,680,614.46,Não,Não
18,Soteiro(a),Preta,F,Inglês,27050572,Coruripe,AL,554.9,586.4,540.4,572.4,700,590.82,Não,Não
19,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,531.5,571.1,554.6,464.7,780,580.38,"Sim, um",Sim
18,Soteiro(a),Parda,M,Inglês,27045234,Penedo,AL,414.6,531.1,562,435.1,620,512.56,Não,Sim
19,Soteiro(a),Preta,F,ESpanhol,27047830,Penedo,AL,537.9,555.8,561.8,537.8,800,598.66,Não,Sim
23,Soteiro(a),Parda,M,Inglês,27215830,Palmeira dos Indios,AL,510.9,532.3,563,636.4,740,596.52,"Sim, um",Sim
19,Soteiro(a),Parda,M,ESpanhol,27014959,Palmeira dos Indios,AL,521.1,515.5,475.1,554.5,900,593.24,Não,Sim
19,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,596.2,573,630.1,669.5,660,625.76,"Sim, um",Sim
17,Soteiro(a),Branca,F,ESpanhol,27045153,Penedo,AL,592.1,589.2,568.7,536,800,617.2,Não,Sim
18,Soteiro(a),Amarela,M,Inglês,27045145,Penedo,AL,444.7,466.7,416.9,519.9,320,433.64,Não,Sim
17,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,547.4,515.6,543.2,513.8,400,504,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,478,572,529.9,575.2,780,587.02,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27045234,Penedo,AL,546.6,499.1,530.9,548.5,680,561.02,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27226328,Coruripe,AL,392.2,512,557.2,401.7,440,460.62,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27047830,Penedo,AL,462.9,509.7,522.5,514.9,600,522,"Sim, um",Não
